Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,"Days to 
Deliver","Delivery 
Company","Price per 
Unit",Units Sold,Total Sales,Operating Profit,Operating Margin
Costco,1197831,6/1/2022,South,Texas,Houston,Dasani Water,45,USPS,$0.50 ,"10,000","$5,000 ","$2,500 ",50%
Costco,1197831,7/3/2022,South,Texas,Houston,Coca-Cola,18,FedEx,$0.40 ,"9,500","$3,800 ","$1,330 ",35%
Costco,1197831,7/3/2022,South,Texas,Houston,Diet Coke,37,DHL,$0.45 ,"9,500","$4,275 ","$1,496 ",35%
Costco,1197831,7/3/2022,South,Texas,Houston,Sprite,45,USPS,$0.40 ,"11,000","$4,400 ","$1,540 ",35%
Costco,1197831,7/3/2022,South,Texas,Houston,Fanta,19,DHL,$0.40 ,"7,000","$2,800 ","$1,260 ",45%
Costco,1197831,7/3/2022,South,Texas,Houston,Powerade,54,USPS,$0.45 ,"7,000","$3,150 ",$945 ,30%
Costco,1197831,7/3/2022,South,Texas,Houston,Dasani Water,30,UPS,$0.50 ,"9,750","$4,875 ","$2,438 ",50%
Costco,1197831,8/5/2022,South,Texas,Houston,Coca-Cola,40,DHL,$0.40 ,"9,250","$3,700 ","$1,295 ",35%
Costco,1197831,8/5/2022,South,Texas,Houston,Diet Coke,23,FedEx,$0.45 ,"9,250","$4,163 ","$1,457 ",35%
Costco,1197831,8/5/2022,South,Texas,Houston,Sprite,52,DHL,$0.40 ,"11,000","$4,400 ","$1,540 ",35%
Costco,1197831,8/5/2022,South,Texas,Houston,Fanta,31,UPS,$0.40 ,"6,500","$2,600 ","$1,170 ",45%
Costco,1197831,8/5/2022,South,Texas,Houston,Powerade,37,UPS,$0.45 ,"6,500","$2,925 ",$878 ,30%
Costco,1197831,8/5/2022,South,Texas,Houston,Dasani Water,59,FedEx,$0.50 ,"9,000","$4,500 ","$2,250 ",50%
Costco,1197831,9/2/2022,South,Texas,Houston,Coca-Cola,53,FedEx,$0.45 ,"8,500","$3,825 ","$1,339 ",35%
Costco,1197831,9/2/2022,South,Texas,Houston,Diet Coke,58,USPS,$0.45 ,"8,500","$3,825 ","$1,339 ",35%
Costco,1197831,9/2/2022,South,Texas,Houston,Sprite,57,DHL,$0.50 ,"9,000","$4,500 ","$1,575 ",35%
Costco,1197831,9/2/2022,South,Texas,Houston,Fanta,22,DHL,$0.50 ,"6,250","$3,125 ","$1,406 ",45%
Costco,1197831,9/2/2022,South,Texas,Houston,Powerade,24,DHL,$0.45 ,"6,250","$2,813 ",$844 ,30%
Costco,1197831,9/2/2022,South,Texas,Houston,Dasani Water,31,USPS,$0.55 ,"8,500","$4,675 ","$2,338 ",50%
Costco,1197831,10/1/2022,South,Texas,Houston,Coca-Cola,43,USPS,$0.45 ,"8,000","$3,600 ","$1,260 ",35%
Costco,1197831,10/1/2022,South,Texas,Houston,Diet Coke,35,USPS,$0.45 ,"8,000","$3,600 ","$1,260 ",35%
Costco,1197831,10/1/2022,South,Texas,Houston,Sprite,60,USPS,$0.50 ,"7,500","$3,750 ","$1,313 ",35%
Costco,1197831,10/1/2022,South,Texas,Houston,Fanta,32,FedEx,$0.50 ,"6,000","$3,000 ","$1,350 ",45%
Costco,1197831,10/1/2022,South,Texas,Houston,Powerade,16,USPS,$0.45 ,"5,750","$2,588 ",$776 ,30%
Costco,1197831,10/1/2022,South,Texas,Houston,Dasani Water,20,FedEx,$0.55 ,"7,500","$4,125 ","$2,063 ",50%
Costco,1197831,11/2/2022,South,Texas,Houston,Coca-Cola,53,FedEx,$0.45 ,"9,000","$4,050 ","$1,418 ",35%
Costco,1197831,11/2/2022,South,Texas,Houston,Diet Coke,40,FedEx,$0.45 ,"9,000","$4,050 ","$1,418 ",35%
Costco,1197831,11/2/2022,South,Texas,Houston,Sprite,35,UPS,$0.50 ,"8,250","$4,125 ","$1,444 ",35%
Costco,1197831,11/2/2022,South,Texas,Houston,Fanta,30,UPS,$0.50 ,"6,750","$3,375 ","$1,519 ",45%
Costco,1197831,11/2/2022,South,Texas,Houston,Powerade,15,DHL,$0.45 ,"6,500","$2,925 ",$878 ,30%
Costco,1197831,11/2/2022,South,Texas,Houston,Dasani Water,24,USPS,$0.55 ,"8,500","$4,675 ","$2,338 ",50%
Costco,1197831,12/1/2022,South,Texas,Houston,Coca-Cola,22,FedEx,$0.45 ,"9,500","$4,275 ","$1,496 ",35%
Costco,1197831,12/1/2022,South,Texas,Houston,Diet Coke,46,DHL,$0.45 ,"9,500","$4,275 ","$1,496 ",35%
Costco,1197831,12/1/2022,South,Texas,Houston,Sprite,45,FedEx,$0.50 ,"8,500","$4,250 ","$1,488 ",35%
Costco,1197831,12/1/2022,South,Texas,Houston,Fanta,22,USPS,$0.50 ,"7,000","$3,500 ","$1,575 ",45%
Costco,1197831,12/1/2022,South,Texas,Houston,Powerade,35,DHL,$0.45 ,"6,500","$2,925 ",$878 ,30%
Costco,1197831,12/1/2022,South,Texas,Houston,Dasani Water,16,FedEx,$0.55 ,"9,000","$4,950 ","$2,475 ",50%
CVS,1128299,1/20/2022,West,California,San Francisco,Coca-Cola,45,DHL,$0.40 ,"7,750","$3,100 ","$1,085 ",35%
CVS,1128299,1/20/2022,West,California,San Francisco,Diet Coke,50,UPS,$0.50 ,"7,750","$3,875 ",$775 ,20%
CVS,1128299,1/20/2022,West,California,San Francisco,Sprite,25,USPS,$0.50 ,"7,750","$3,875 ","$1,356 ",35%
CVS,1128299,1/20/2022,West,California,San Francisco,Fanta,48,UPS,$0.50 ,"6,250","$3,125 ",$938 ,30%
CVS,1128299,1/20/2022,West,California,San Francisco,Powerade,57,FedEx,$0.55 ,"5,750","$3,163 ","$1,581 ",50%
CVS,1128299,1/20/2022,West,California,San Francisco,Dasani Water,20,DHL,$0.50 ,"7,750","$3,875 ",$581 ,15%
CVS,1128299,2/20/2022,West,California,San Francisco,Coca-Cola,26,USPS,$0.40 ,"8,250","$3,300 ","$1,155 ",35%
CVS,1128299,2/20/2022,West,California,San Francisco,Diet Coke,55,FedEx,$0.50 ,"7,250","$3,625 ",$725 ,20%
CVS,1128299,2/20/2022,West,California,San Francisco,Sprite,59,USPS,$0.50 ,"7,250","$3,625 ","$1,269 ",35%
CVS,1128299,2/20/2022,West,California,San Francisco,Fanta,60,FedEx,$0.50 ,"5,750","$2,875 ",$863 ,30%
CVS,1128299,2/20/2022,West,California,San Francisco,Powerade,21,UPS,$0.55 ,"5,000","$2,750 ","$1,375 ",50%
CVS,1128299,2/20/2022,West,California,San Francisco,Dasani Water,39,DHL,$0.50 ,"7,000","$3,500 ",$525 ,15%
CVS,1128299,3/19/2022,West,California,San Francisco,Coca-Cola,55,FedEx,$0.50 ,"8,500","$4,250 ","$1,488 ",35%
CVS,1128299,3/19/2022,West,California,San Francisco,Diet Coke,38,DHL,$0.60 ,"7,000","$4,200 ",$840 ,20%
CVS,1128299,3/19/2022,West,California,San Francisco,Sprite,49,UPS,$0.60 ,"7,000","$4,200 ","$1,470 ",35%
CVS,1128299,3/19/2022,West,California,San Francisco,Fanta,39,UPS,$0.60 ,"6,000","$3,600 ","$1,080 ",30%
CVS,1128299,3/19/2022,West,California,San Francisco,Powerade,15,DHL,$0.65 ,"5,000","$3,250 ","$1,625 ",50%
CVS,1128299,3/19/2022,West,California,San Francisco,Dasani Water,26,FedEx,$0.60 ,"7,000","$4,200 ",$630 ,15%
CVS,1128299,4/20/2022,West,California,San Francisco,Coca-Cola,31,FedEx,$0.60 ,"8,750","$5,250 ","$1,838 ",35%
CVS,1128299,4/20/2022,West,California,San Francisco,Diet Coke,18,UPS,$0.65 ,"6,750","$4,388 ",$878 ,20%
CVS,1128299,4/20/2022,West,California,San Francisco,Sprite,41,DHL,$0.65 ,"7,250","$4,713 ","$1,649 ",35%
CVS,1128299,4/20/2022,West,California,San Francisco,Fanta,31,USPS,$0.60 ,"6,250","$3,750 ","$1,125 ",30%
CVS,1128299,4/20/2022,West,California,San Francisco,Powerade,46,FedEx,$0.65 ,"5,250","$3,413 ","$1,706 ",50%
CVS,1128299,4/20/2022,West,California,San Francisco,Dasani Water,36,USPS,$0.80 ,"7,000","$5,600 ",$840 ,15%
CVS,1128299,5/21/2022,West,California,San Francisco,Coca-Cola,26,DHL,$0.60 ,"9,000","$5,400 ","$2,160 ",40%
CVS,1128299,5/21/2022,West,California,San Francisco,Diet Coke,15,UPS,$0.65 ,"7,500","$4,875 ","$1,219 ",25%
CVS,1128299,5/21/2022,West,California,San Francisco,Sprite,39,FedEx,$0.65 ,"7,500","$4,875 ","$1,950 ",40%
CVS,1128299,5/21/2022,West,California,San Francisco,Fanta,32,USPS,$0.60 ,"6,500","$3,900 ","$1,365 ",35%
CVS,1128299,5/21/2022,West,California,San Francisco,Powerade,55,USPS,$0.65 ,"5,500","$3,575 ","$1,966 ",55%
CVS,1128299,5/21/2022,West,California,San Francisco,Dasani Water,50,DHL,$0.80 ,"7,250","$5,800 ","$1,160 ",20%
CVS,1128299,6/20/2022,West,California,San Francisco,Coca-Cola,33,UPS,$0.60 ,"9,750","$5,850 ","$2,340 ",40%
CVS,1128299,6/20/2022,West,California,San Francisco,Diet Coke,27,FedEx,$0.65 ,"8,250","$5,363 ","$1,341 ",25%
CVS,1128299,6/20/2022,West,California,San Francisco,Sprite,53,DHL,$0.65 ,"8,250","$5,363 ","$2,145 ",40%
CVS,1128299,6/20/2022,West,California,San Francisco,Fanta,55,UPS,$0.60 ,"7,000","$4,200 ","$1,470 ",35%
CVS,1128299,6/20/2022,West,California,San Francisco,Powerade,46,FedEx,$0.65 ,"5,750","$3,738 ","$2,056 ",55%
CVS,1128299,6/20/2022,West,California,San Francisco,Dasani Water,35,DHL,$0.80 ,"8,750","$7,000 ","$1,400 ",20%
CVS,1128299,7/19/2022,West,California,San Francisco,Coca-Cola,26,USPS,$0.60 ,"10,250","$6,150 ","$2,153 ",35%
CVS,1128299,7/19/2022,West,California,San Francisco,Diet Coke,25,UPS,$0.65 ,"8,750","$5,688 ","$1,138 ",20%
CVS,1128299,7/19/2022,West,California,San Francisco,Sprite,36,UPS,$0.65 ,"8,250","$5,363 ","$1,877 ",35%
CVS,1128299,7/19/2022,West,California,San Francisco,Fanta,35,UPS,$0.60 ,"7,250","$4,350 ","$1,305 ",30%
CVS,1128299,7/19/2022,West,California,San Francisco,Powerade,15,UPS,$0.65 ,"7,750","$5,038 ","$2,519 ",50%
CVS,1128299,7/19/2022,West,California,San Francisco,Dasani Water,56,USPS,$0.80 ,"7,750","$6,200 ",$930 ,15%
CVS,1128299,8/20/2022,West,California,San Francisco,Coca-Cola,56,USPS,$0.65 ,"9,750","$6,338 ","$2,218 ",35%
CVS,1128299,8/20/2022,West,California,San Francisco,Diet Coke,57,UPS,$0.70 ,"9,250","$6,475 ","$1,295 ",20%
CVS,1128299,8/20/2022,West,California,San Francisco,Sprite,37,FedEx,$0.65 ,"8,000","$5,200 ","$1,820 ",35%
CVS,1128299,8/20/2022,West,California,San Francisco,Fanta,57,DHL,$0.65 ,"7,500","$4,875 ","$1,463 ",30%
CVS,1128299,8/20/2022,West,California,San Francisco,Powerade,15,UPS,$0.75 ,"7,500","$5,625 ","$2,813 ",50%
CVS,1128299,8/20/2022,West,California,San Francisco,Dasani Water,38,DHL,$0.80 ,"7,250","$5,800 ",$870 ,15%
CVS,1128299,9/21/2022,West,California,San Francisco,Coca-Cola,30,DHL,$0.55 ,"9,250","$5,088 ","$1,526 ",30%
CVS,1128299,9/21/2022,West,California,San Francisco,Diet Coke,58,UPS,$0.60 ,"9,250","$5,550 ",$833 ,15%
CVS,1128299,9/21/2022,West,California,San Francisco,Sprite,38,FedEx,$0.55 ,"7,750","$4,263 ","$1,279 ",30%
CVS,1128299,9/21/2022,West,California,San Francisco,Fanta,30,UPS,$0.55 ,"7,250","$3,988 ",$997 ,25%
CVS,1128299,9/21/2022,West,California,San Francisco,Powerade,19,DHL,$0.65 ,"7,250","$4,713 ","$2,121 ",45%
CVS,1128299,9/21/2022,West,California,San Francisco,Dasani Water,48,UPS,$0.70 ,"7,750","$5,425 ",$543 ,10%
CVS,1128299,10/20/2022,West,California,San Francisco,Coca-Cola,55,USPS,$0.55 ,"8,750","$4,813 ","$1,444 ",30%
CVS,1128299,10/20/2022,West,California,San Francisco,Diet Coke,23,USPS,$0.60 ,"8,750","$5,250 ",$788 ,15%
CVS,1128299,10/20/2022,West,California,San Francisco,Sprite,42,UPS,$0.55 ,"7,000","$3,850 ","$1,155 ",30%
CVS,1128299,10/20/2022,West,California,San Francisco,Fanta,58,UPS,$0.55 ,"6,750","$3,713 ",$928 ,25%
CVS,1128299,10/20/2022,West,California,San Francisco,Powerade,35,DHL,$0.65 ,"6,500","$4,225 ","$1,901 ",45%
CVS,1128299,10/20/2022,West,California,San Francisco,Dasani Water,60,USPS,$0.70 ,"7,000","$4,900 ",$490 ,10%
CVS,1128299,11/20/2022,West,California,San Francisco,Coca-Cola,28,FedEx,$0.55 ,"8,750","$4,813 ","$1,444 ",30%
CVS,1128299,11/20/2022,West,California,San Francisco,Diet Coke,28,DHL,$0.60 ,"8,750","$5,250 ",$788 ,15%
CVS,1128299,11/20/2022,West,California,San Francisco,Sprite,30,UPS,$0.55 ,"7,250","$3,988 ","$1,196 ",30%
